Player,Pos,GP,G,A,PTS, +/-,PIM,PP,PPA,SH,SHA,GW,FG,IG,OT,UA,EN,SOG,SOA,SOGW,SO%,Pt/G,PIM/G,Shots,Sh%
Alex Biega,D,46,4,10,14,12,42,3,1,0,2,0,1,2,0,0,0,0,0,0,0,0.3,0.91,78,5.1
Matt Tennyson,D,53,3,11,14,-3,44,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.26,0.83,66,4.5
David Farrance,D,50,1,13,14,-3,15,1,6,0,0,0,1,0,0,1,0,1,2,0,50,0.28,0.3,47,2.1
Anthony Richard,LW,31,7,5,12,-6,14,1,0,1,0,3,1,0,2,0,1,0,0,0,0,0.39,0.45,70,10
Grant Mismash,LW,57,6,6,12,-13,20,1,1,0,0,0,1,0,0,0,0,0,2,0,0,0.21,0.35,53,11.3
Joseph LaBate,LW,56,5,7,12,-10,121,0,0,0,0,1,0,3,0,1,1,0,0,0,0,0.21,2.16,93,5.4
Kole Sherwood,RW,44,5,6,11,-12,35,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.25,0.8,88,5.7
Mathieu Olivier,RW,46,5,6,11,-7,76,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0.24,1.65,47,10.6
Dylan Blujus,D,43,1,10,11,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26,0.7,29,3.4
Josh Healey,D,57,1,7,8,20,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,1.56,40,2.5
Michael McCarron,C,14,3,3,6,-3,15,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0.43,1.07,21,14.3
Zach Solow,RW,20,3,2,5,-7,10,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0.25,0.5,23,13
Frederic Allard,D,36,1,4,5,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0.33,51,2
Tommy Apap,C,35,1,2,3,-5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0.57,18,5.6
Jake McLaughlin,D,13,0,3,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.23,0,11,0
Xavier Bouchard,D,2,0,0,0,-1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
Jachym Kondelik,C,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Spencer Stastney,D,2,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matt Bradley,C,4,0,0,0,-2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Avery Peterson,F,5,0,0,0,-3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,8,0
Ben Harpur,D,6,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83,4,0
Patrick Harper,LW,9,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
Robert Carpenter,C,11,0,0,0,-6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,6,0
T.J. Tynan,C,62,14,84,98,12,18,3,46,0,0,3,1,1,1,0,2,0,0,0,0,1.58,0.29,91,15.4
Martin Frk,RW,58,40,33,73,16,73,15,9,0,0,7,8,4,3,1,2,0,1,0,0,1.26,1.26,184,21.7
Jaret Anderson-Dolan,C,54,24,23,47,9,51,12,13,0,0,2,2,4,0,0,0,1,2,1,50,0.87,0.94,133,18
Samuel Fagemo,F,63,27,17,44,17,38,9,3,0,0,3,3,3,1,1,0,2,4,0,50,0.7,0.6,136,19.9
Jordan Spence,D,46,4,38,42,18,28,2,24,0,0,0,1,0,0,0,0,0,0,0,0,0.91,0.61,114,3.5
